epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,6387.76,0.49223,0.36988,0.90362,0.962,0.99482,0.99196,0.88368,0.53444,0.27029,0.89404,0.000507243,0.000507243,0.000507243
119,6441.46,0.49899,0.37739,0.90179,0.96365,0.99695,0.99158,0.9184,0.4015,0.2657,0.84775,0.000505476,0.000505476,0.000505476
120,6494.72,0.47532,0.34875,0.88712,0.95415,0.9939,0.98975,0.89974,0.51763,0.30484,0.88901,0.000503709,0.000503709,0.000503709
121,6548.67,0.48027,0.38307,0.88989,0.96627,0.99242,0.99249,0.90509,0.44792,0.27554,0.8604,0.000501942,0.000501942,0.000501942
122,6602.52,0.50502,0.36675,0.90419,0.96436,0.98171,0.99145,0.89981,0.4676,0.27993,0.8717,0.000500175,0.000500175,0.000500175
123,6656.19,0.47288,0.34708,0.89069,0.95287,0.98992,0.99104,0.89783,0.48639,0.26798,0.87617,0.000498408,0.000498408,0.000498408
124,6710.49,0.48412,0.35251,0.89703,0.95245,0.99377,0.9911,0.89565,0.49711,0.27485,0.87738,0.000496641,0.000496641,0.000496641
125,6764.23,0.47454,0.33064,0.88203,0.96314,0.98536,0.99134,0.90881,0.41334,0.25719,0.85134,0.000494873,0.000494873,0.000494873
126,6817.87,0.48799,0.34884,0.89678,0.96276,0.99695,0.99306,0.91679,0.43157,0.26238,0.86113,0.000493106,0.000493106,0.000493106
127,6871.46,0.51273,0.39376,0.90697,0.96388,0.98608,0.99103,0.88563,0.49624,0.28297,0.87997,0.000491339,0.000491339,0.000491339
128,6925.41,0.48861,0.36687,0.89852,0.97948,0.96951,0.99208,0.88285,0.49968,0.27201,0.88246,0.000489572,0.000489572,0.000489572
129,6978.39,0.48122,0.35701,0.88725,0.96701,0.99581,0.99122,0.91763,0.42465,0.27154,0.84921,0.000487805,0.000487805,0.000487805
130,7031.85,0.48887,0.35548,0.89198,0.96716,0.99308,0.99181,0.8922,0.48663,0.27784,0.88667,0.000486038,0.000486038,0.000486038
131,7084.96,0.48016,0.39688,0.88725,0.96644,0.97273,0.99258,0.91856,0.4295,0.27229,0.85472,0.000484271,0.000484271,0.000484271
132,7138.72,0.47281,0.3485,0.89071,0.96028,0.99199,0.99127,0.92444,0.40722,0.25836,0.84902,0.000482503,0.000482503,0.000482503
133,7192.23,0.4767,0.349,0.89089,0.96326,0.99695,0.99266,0.89688,0.48909,0.27171,0.87269,0.000480736,0.000480736,0.000480736
134,7245.37,0.48575,0.35785,0.88954,0.96185,0.99628,0.9924,0.91227,0.42912,0.26376,0.8543,0.000478969,0.000478969,0.000478969
135,7298.29,0.48546,0.38216,0.89496,0.96117,0.99695,0.99389,0.90128,0.46782,0.26813,0.8706,0.000477202,0.000477202,0.000477202
136,7352.35,0.47581,0.3439,0.88293,0.96326,0.99695,0.99348,0.9167,0.42479,0.25191,0.85137,0.000475435,0.000475435,0.000475435
137,7405.35,0.47538,0.36167,0.89019,0.96449,0.99281,0.99347,0.90946,0.45421,0.27873,0.86823,0.000473668,0.000473668,0.000473668
138,7459.29,0.46284,0.35324,0.87728,0.96399,0.99312,0.99412,0.92288,0.44552,0.27464,0.8605,0.0004719,0.0004719,0.0004719
139,7513.45,0.47281,0.34263,0.89611,0.99263,0.96598,0.99407,0.9064,0.50854,0.27205,0.88348,0.000470133,0.000470133,0.000470133
140,7567.75,0.47334,0.35561,0.89827,0.96451,0.99615,0.99376,0.90825,0.43755,0.25979,0.8564,0.000468366,0.000468366,0.000468366
141,7620.88,0.48646,0.35609,0.8938,0.98017,0.99345,0.99386,0.91833,0.42875,0.24983,0.8549,0.000466599,0.000466599,0.000466599
142,7673.36,0.49482,0.35044,0.90362,0.97613,0.9939,0.9937,0.91514,0.43684,0.24687,0.85439,0.000464832,0.000464832,0.000464832
143,7725.9,0.47756,0.3578,0.88866,0.96476,0.99042,0.9932,0.90393,0.47805,0.27043,0.87762,0.000463065,0.000463065,0.000463065
144,7779.37,0.4903,0.36214,0.8971,0.95462,0.99553,0.99179,0.9033,0.46654,0.25854,0.86645,0.000461298,0.000461298,0.000461298
145,7832.42,0.48057,0.35945,0.87646,0.98567,0.97299,0.99316,0.92241,0.42665,0.25425,0.85263,0.00045953,0.00045953,0.00045953
146,7885.12,0.47106,0.35027,0.89038,0.97156,0.99677,0.99264,0.91845,0.41571,0.25662,0.84728,0.000457763,0.000457763,0.000457763
147,7938.87,0.47856,0.35674,0.90012,0.96988,0.9962,0.99308,0.91871,0.40896,0.25048,0.84803,0.000455996,0.000455996,0.000455996
148,7992.89,0.49141,0.39132,0.90714,0.9641,0.99584,0.99292,0.90676,0.44594,0.25902,0.86297,0.000454229,0.000454229,0.000454229
149,8047.16,0.47027,0.36094,0.87364,0.97033,0.99266,0.99243,0.90569,0.48326,0.29358,0.86776,0.000452462,0.000452462,0.000452462
150,8100.63,0.47072,0.39921,0.89044,0.97164,0.99627,0.99174,0.92072,0.41362,0.25541,0.84406,0.000450695,0.000450695,0.000450695
